date,total_ratings,avg_stars,pct_5,pct_4,pct_3,pct_2,pct_1,count_5,count_4,count_3,count_2,count_1
2026-06-20,7806,4.1,62,19,4,1,14,4840,1483,312,78,1093
2026-06-21,7829,4.1,62,19,4,1,14,4854,1488,313,78,1096
2026-06-22,7863,4.1,62,18,4,2,14,4875,1415,315,157,1101
2026-06-23,7883,4.1,62,19,4,1,14,4887,1498,315,79,1104
2026-06-24,7912,4.1,62,19,4,1,14,4905,1503,316,79,1108
2026-06-25,7943,4.1,62,19,4,1,14,4925,1509,318,79,1112
2026-06-26,7969,4.1,62,19,4,1,14,4941,1514,319,80,1116
2026-06-27,7991,4.1,62,19,4,1,14,4954,1518,320,80,1119
2026-06-28,8008,4.1,63,19,3,1,14,5045,1522,240,80,1121
2026-06-30,8050,4.1,63,19,3,1,14,5072,1530,242,80,1127
2026-07-01,8070,4.1,63,19,3,1,14,5084,1533,242,81,1130
2026-07-02,8099,4.1,63,18,4,1,14,5102,1458,324,81,1134
2026-07-03,8112,4.1,63,19,3,1,14,5111,1541,243,81,1136
2026-07-04,8121,4.1,63,19,3,1,14,5116,1543,244,81,1137
2026-07-05,8142,4.1,63,19,3,1,14,5129,1547,244,81,1140
2026-07-10,8259,4.1,62,18,5,1,14,5121,1487,413,83,1156
2026-07-11,8295,4.1,63,18,4,1,14,5226,1493,332,83,1161
